objectid,title,creator,date is approximate,date,description,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement,filename ,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
goldsmith001,Langgasse Street,,Yes,,"A black and white photo of Langgasse St. in Danzig, appears to be from a newspaper clipping.",Urban; City; Landscape,Danzig,54.34922572,18.6502196,Goldsmith Collection,Photo,image/jpeg,English,Owned,,goldsmith001.jpg,goldsmith001,image,/objects/goldsmith001.jpg,/objects/small/goldsmith001_sm.jpg,/objects/thumbs/goldsmith001_th.jpg,,
goldsmith001a,Langgasse Street,,Yes,,A modern day photo of Langgasse St. now called Długa St. in Gdansk,Photo,Gdansk,54.34922572,18.6502196,Goldsmith Collection,Photo,image/jpeg,English,Owned,,goldsmith001a.jpg,goldsmith001a,image,/objects/goldsmith001a.jpg,/objects/small/goldsmith001a_sm.jpg,/objects/thumbs/goldsmith001a_th.jpg,,
goldsmith002,Photo of a Woman,,Yes,,Black and white photo of a woman,Woman,,,,Goldsmith Collection,Photo,image/jpeg,English,Owned,,goldsmith002.jpg,goldsmith002,image,/objects/goldsmith002.jpg,/objects/small/goldsmith002_sm.jpg,/objects/thumbs/goldsmith002_th.jpg,,
goldsmith003,Letter: Bertha Himmler to Martin Lisser,Bertha Himmel,No,1926-07-29,"Letter from Bertha Himmler to Martin Lisser in Berlin, Germany postage stamp from Danzig",Letter; Writing; Postcard,Danzig,"54.390115649912, ",18.59226402,Goldsmith Collection,Letter,image/jpeg,German,Owned,,goldsmith003.jpg,goldsmith003,image,/object/goldsmith003.jpg,/objects/small/goldsmith003_sm.jpg,/objects/thumbs/goldsmith003_th.jpg,,
goldsmith004,Name on Paper,,Yes,,Paper with the name Sophia on it,Paper,,,,Goldsmith Collection,Paper,image/jpeg,English,Owned,,goldsmith004.jpg,goldsmith004,image,/objects/goldsmith004.jpg,/objects/small/goldsmith004_sm.jpg,/objects/thumbs/goldsmith004_th.jpg,,
goldsmith005,Photo of a Baby,,Yes,,Photo of Leonhard and Gerda's son Peter,Photo,,,,Goldsmith Collection,Photo,image/jpeg,English,Owned,,goldsmith005.jpg,goldsmith005,image,/objects/goldsmith005.jpg,/objects/small/goldsmith005_sm.jpg,/objects/thumbs/goldsmith005_th.jpg,,
goldsmith006,Photo of a Man with a Child,,Yes,,Mendel? Goldschmid with Peter,Photo,,,,Goldsmith Collection,Photo,image/jpeg,English,Owned,,goldsmith006.jpg,goldsmith006,image,/objects/goldsmith006.jpg,/objects/small/goldsmith006_sm.jpg,/objects/thumbs/goldsmith006_th.jpg,,
goldsmith007,Paper with Writing,,Yes,,Back of photo labeled 'Peter',Paper,,,,Goldsmith Collection,Paper,image/jpeg,English,Owned,,goldsmith007.jpg,goldsmith007,image,/objects/goldsmith007.jpg,/objects/small/goldsmith007_sm.jpg,/objects/thumbs/goldsmith007_th.jpg,,
goldsmith008,Back of Photo,,Yes,,Back of photo labeled 'my paternal grandpa',Paper,,,,Goldsmith Collection,Paper,image/jpeg,English,Owned,,goldsmith008.jpg,goldsmith008,image,/objects/goldsmith008.jpg,/objects/small/goldsmith008_sm.jpg,/objects/thumbs/goldsmith008_th.jpg,,
goldsmith009,Photo of Woman,,Yes,,Photo of Gerda May 1931,Photo,,,,Goldsmith Collection,Photo,image/jpeg,English,Owned,,goldsmith009.jpg,goldsmith009,image,/objects/goldsmith009.jpg,/objects/small/goldsmith009_sm.jpg,/objects/thumbs/goldsmith009_th.jpg,,
goldsmith010,Postcard Painting Miller Guild,,Yes,,Postcard with a painting of the House of the Miller Guild in Gdansk,Painting; Postcard,Danzig,54.35368612,18.64855988,Goldsmith Collection,Painting,image/jpeg,English,Owned,,goldsmith010.jpg,goldsmith010,image,/objects/goldsmith010.jpg,/objects/small/goldsmith010_sm.jpg,/objects/thumbs/goldsmith010_th.jpg,,
goldsmith010a,Photo of Miller Guild,,Yes,,Photo of House of the Miller Guild in modern day Gdansk,Photo,Danzig,54.35368612,18.64855988,Google,Image,image/jpeg,English,Owned,,goldsmith010a.jpg,goldsmith010a,image,/objects/goldsmith010a.jpg,/objects/small/goldsmith010a_sm.jpg,/objects/thumbs/goldsmith010a_th.jpg,,
